,eye_id,timestamp,topic,confidence,diameter_2d [px],diameter_3d [mm],timestamp_corrected
76606,0,1583864126.845636,pupil.0,0.9984564243963124,47.96841879711803,3.010488643135992,1.7414429187774658
76609,0,1583864126.8537052,pupil.0,0.9988281007620824,47.82888417627074,3.0017111043693445,1.7495121955871582
76610,0,1583864126.861774,pupil.0,0.9989351994707396,47.68267205436389,2.9925358314142985,1.7575809955596924
76612,0,1583864126.869843,pupil.0,0.9985454201695768,47.763290496103906,2.9976555417452837,1.7656500339508057
76614,0,1583864126.8779118,pupil.0,0.9985272736763432,47.90720217133752,3.006693034847087,1.7737188339233398
76617,0,1583864126.8859806,pupil.0,0.9989458066376966,47.559652200483434,2.9848682077907656,1.781787633895874
76619,0,1583864126.89405,pupil.0,0.972266528742496,47.823676935375964,3.0014600268662512,1.7898569107055664
76620,0,1583864126.9021199,pupil.0,0.9976701357215833,47.992988138745616,3.0120926487517323,1.797926902770996
76622,0,1583864126.9101892,pupil.0,0.9975178172377002,48.0586019943276,3.0162379751436585,1.8059961795806885
76624,0,1583864126.918258,pupil.0,0.8278868965507584,47.4398546380865,3.0507286640543585,1.8140649795532227
76626,0,1583864126.926327,pupil.0,0.9985846552579041,47.693165721788205,3.066854084089428,1.822134017944336
76628,0,1583864126.934396,pupil.0,0.9985974064110844,47.6327857284396,3.0629924919871465,1.8302030563354492
76630,0,1583864126.9424648,pupil.0,0.9984548932669712,47.643015227509935,3.0636175403080244,1.8382718563079834
76632,0,1583864126.9505339,pupil.0,0.9985791886321602,47.61141414292576,3.0615730299196624,1.8463408946990967
76634,0,1583864126.958603,pupil.0,0.9817642981045996,47.832371077845465,3.0757951524244445,1.85440993309021
76636,0,1583864126.9666722,pupil.0,0.9981633141440588,47.76057631250123,3.0711814175261947,1.8624792098999023
76638,0,1583864126.974741,pupil.0,1.0,46.82368825722021,3.0110664620161622,1.8705480098724365
76640,0,1583864126.98281,pupil.0,0.997424351677328,47.89478702379181,3.0797936117176734,1.8786170482635498
76642,0,1583864126.9908788,pupil.0,0.9978989817464176,47.714614086649334,3.068215428879358,1.886685848236084
76644,0,1583864126.998948,pupil.0,0.9976840248547238,47.8211126838269,3.0750355596894168,1.8947551250457764
76646,0,1583864127.007017,pupil.0,0.9904809447908904,47.80519030334122,3.0741105762741867,1.9028239250183105
76648,0,1583864127.015086,pupil.0,0.9978068559634072,47.91637287707347,3.0812468747697443,1.9108929634094238
76650,0,1583864127.023155,pupil.0,0.9974382752108024,47.918547075885115,3.0813611275308834,1.918962001800537
76652,0,1583864127.031224,pupil.0,0.9977371500639988,47.73004446660747,3.0692363107130545,1.9270310401916504
76654,0,1583864127.0392928,pupil.0,0.9980592598067376,47.73896536962994,3.069846091467891,1.9350998401641846
76656,0,1583864127.0473628,pupil.0,0.9893925079141715,46.9099675754091,3.016668381071978,1.9431698322296143
76658,0,1583864127.0554318,pupil.0,0.8677593551060079,47.34502146266357,3.044560719607246,1.9512388706207275
76660,0,1583864127.063501,pupil.0,0.9951855466892534,47.791035015762404,3.073191261889128,1.9593079090118408
76663,0,1583864127.079639,pupil.0,0.99744954067841,47.87600552534483,3.078616238918245,1.9754459857940674
76665,0,1583864127.087708,pupil.0,0.9982742074176458,47.53217203024762,3.056448643756783,1.9835150241851807
76667,0,1583864127.095777,pupil.0,0.9977239492026,47.717314375393954,3.0684190066051533,1.991584062576294
76669,0,1583864127.1038456,pupil.0,0.9977175251894812,47.900117490669174,3.080173047934898,1.999652624130249
76671,0,1583864127.1119149,pupil.0,0.9612927654323634,46.938634072597196,3.018477154364647,2.0077219009399414
76673,0,1583864127.119984,pupil.0,0.9352025769670946,46.87434860735812,3.0144726387362124,2.0157909393310547
76675,0,1583864127.128053,pupil.0,0.8792336228312243,47.411633619466656,3.048725302543301,2.023859977722168
76677,0,1583864127.136122,pupil.0,0.998106178046962,47.55469979958333,3.0577952126619423,2.0319290161132812
76679,0,1583864127.144191,pupil.0,0.9977137938214646,47.781783435251796,3.0724136386866303,2.0399980545043945
76681,0,1583864127.1522598,pupil.0,0.9979446614219794,47.76093996004685,3.0711328716178348,2.0480668544769287
76683,0,1583864127.1603286,pupil.0,0.8892860807486634,47.66507176019808,3.0649995194521997,2.056135654449463
76685,0,1583864127.1683981,pupil.0,0.9977293838110692,47.81260285602921,3.0744296503917536,2.0642051696777344
76687,0,1583864127.176467,pupil.0,0.9979475206265206,47.71167183123996,3.0679291995837485,2.0722739696502686
76689,0,1583864127.184536,pupil.0,0.9978789883277249,47.73545124308661,3.0694393115122622,2.080343008041382
76691,0,1583864127.192605,pupil.0,0.9150789512469056,47.25990306298347,3.038804360646311,2.088412046432495
76693,0,1583864127.200675,pupil.0,0.9984812879953668,47.43183088506359,3.048782592557725,2.096482038497925
76696,0,1583864127.2087438,pupil.0,0.9987837782788234,47.364987118009424,3.0438556605103524,2.104550838470459
76698,0,1583864127.2168126,pupil.0,0.9988368496217106,47.36173669969449,3.0437376178681896,2.112619638442993
76700,0,1583864127.2248821,pupil.0,0.9989377056159882,47.26666509002579,3.037586427409948,2.1206891536712646
76702,0,1583864127.232951,pupil.0,0.9906438683702016,47.131996195488526,3.0288682011103116,2.128757953643799
76703,0,1583864127.24102,pupil.0,0.9984523275524748,47.398505168325656,3.0460044843787384,2.136826992034912
76706,0,1583864127.249089,pupil.0,0.998241544954087,47.461598315397616,3.0500293771416414,2.1448960304260254
76708,0,1583864127.2571578,pupil.0,0.9989415325033124,47.32264555593339,3.041027541407637,2.1529648303985596
76709,0,1583864127.2652268,pupil.0,0.8176927556617705,46.36833302742015,2.9798110879867568,2.161033868789673
76712,0,1583864127.273296,pupil.0,0.8338297376518968,46.62753034094392,2.9963685730077745,2.1691031455993652
76713,0,1583864127.2813652,pupil.0,0.9989631211421724,47.32013567962321,3.0409044468806488,2.1771721839904785
76716,0,1583864127.289434,pupil.0,0.9989736181970554,47.334204067272786,3.0417979474985293,2.1852409839630127
76718,0,1583864127.297503,pupil.0,0.9990044930741856,47.3348979615897,3.0417988046626037,2.193310022354126
76719,0,1583864127.305572,pupil.0,0.998894177911978,47.34942690224838,3.0427675689075016,2.2013790607452393
76722,0,1583864127.3136408,pupil.0,0.999255170541018,47.19116052634214,3.0326407574366545,2.2094478607177734
76723,0,1583864127.3217099,pupil.0,0.8029661805204972,46.8074587967556,3.007910669705956,2.2175168991088867
76726,0,1583864127.329779,pupil.0,0.9986386497256572,47.45108105704035,3.049282587918098,2.2255859375
76728,0,1583864127.337848,pupil.0,0.9983418047391224,47.651280987037275,3.062166059825385,2.2336549758911133
76730,0,1583864127.345917,pupil.0,0.9986087682462906,47.43584217066778,3.0483336209407286,2.2417240142822266
76731,0,1583864127.353986,pupil.0,0.9990535049130472,47.31096110191261,3.0402847594819047,2.24979305267334
76734,0,1583864127.362056,pupil.0,0.8708621400250709,46.87848518286229,3.0125095383963996,2.2578630447387695
