block,exp_event,task,timestamp,trial
1,Fixation dot begins for trial 55 in block 1,Fixation dot,1575397922.077773,55
1,Image onset for trial 55 in block 1,Image onset,1575397923.466472,55
1,Adjust Task begins for trial 55 in block 1,Adjust task,1575397925.025834,55
1,Adjust Task ends for trial 55 in block 1,,1575397925.8934999,55
1,Ending trial 55 in block 1,End trial,1575397925.910183,55
1,Begin for trial 56 in block 1,Trial begins,1575397925.911102,56
1,Fixation dot begins for trial 56 in block 1,Fixation dot,1575397925.911181,56
1,Image onset for trial 56 in block 1,Image onset,1575397927.1320598,56
1,Adjust Task begins for trial 56 in block 1,Adjust task,1575397928.676424,56
1,Adjust Task ends for trial 56 in block 1,,1575397931.4270651,56
1,Ending trial 56 in block 1,End trial,1575397931.4431412,56
1,Begin for trial 57 in block 1,Trial begins,1575397931.444639,57
1,Fixation dot begins for trial 57 in block 1,Fixation dot,1575397931.4447832,57
1,Image onset for trial 57 in block 1,Image onset,1575397932.66496,57
1,Adjust Task begins for trial 57 in block 1,Adjust task,1575397934.210604,57
1,Adjust Task ends for trial 57 in block 1,,1575397937.593802,57
1,Ending trial 57 in block 1,End trial,1575397937.610455,57
1,Begin for trial 58 in block 1,Trial begins,1575397937.611567,58
1,Fixation dot begins for trial 58 in block 1,Fixation dot,1575397937.6117098,58
1,Image onset for trial 58 in block 1,Image onset,1575397938.991006,58
1,Adjust Task begins for trial 58 in block 1,Adjust task,1575397940.5430331,58
1,Adjust Task ends for trial 58 in block 1,,1575397941.143073,58
1,Ending trial 58 in block 1,End trial,1575397941.163348,58
1,Begin for trial 59 in block 1,Trial begins,1575397941.164544,59
1,Fixation dot begins for trial 59 in block 1,Fixation dot,1575397941.164643,59
1,Image onset for trial 59 in block 1,Image onset,1575397942.5247202,59
1,Adjust Task begins for trial 59 in block 1,Adjust task,1575397944.109849,59
1,Adjust Task ends for trial 59 in block 1,,1575397946.410132,59
1,Ending trial 59 in block 1,End trial,1575397946.426774,59
1,Begin for trial 60 in block 1,Trial begins,1575397946.427854,60
1,Fixation dot begins for trial 60 in block 1,Fixation dot,1575397946.428052,60
1,Image onset for trial 60 in block 1,Image onset,1575397947.8742368,60
1,Adjust Task begins for trial 60 in block 1,Adjust task,1575397949.4428759,60
1,Adjust Task ends for trial 60 in block 1,,1575397951.9948559,60
1,Ending trial 60 in block 1,End trial,1575397952.01046,60
1,Begin for trial 61 in block 1,Trial begins,1575397952.0116532,61
1,Fixation dot begins for trial 61 in block 1,Fixation dot,1575397952.011839,61
1,Image onset for trial 61 in block 1,Image onset,1575397952.9508722,61
1,Adjust Task begins for trial 61 in block 1,Adjust task,1575397954.52622,61
1,Adjust Task ends for trial 61 in block 1,,1575397959.177063,61
1,Ending trial 61 in block 1,End trial,1575397959.1941938,61
1,Begin for trial 62 in block 1,Trial begins,1575397959.195334,62
1,Fixation dot begins for trial 62 in block 1,Fixation dot,1575397959.1955059,62
1,Image onset for trial 62 in block 1,Image onset,1575397960.095548,62
1,Adjust Task begins for trial 62 in block 1,Adjust task,1575397961.642905,62
1,Adjust Task ends for trial 62 in block 1,,1575397963.8275971,62
1,Ending trial 62 in block 1,End trial,1575397963.843363,62
1,Begin for trial 63 in block 1,Trial begins,1575397963.844866,63
1,Fixation dot begins for trial 63 in block 1,Fixation dot,1575397963.845076,63
1,Image onset for trial 63 in block 1,Image onset,1575397965.377454,63
1,Adjust Task begins for trial 63 in block 1,Adjust task,1575397966.9437592,63
1,Adjust Task ends for trial 63 in block 1,,1575397968.9440901,63
1,Ending trial 63 in block 1,End trial,1575397968.960625,63
1,Begin for trial 64 in block 1,Trial begins,1575397968.961965,64
